地區,性別,數量
新北市,總計,21557
新北市,　男,11204
新北市,　女,10353
臺北市,總計,14528
臺北市,　男,7458
臺北市,　女,7070
桃園市,總計,18205
桃園市,　男,9353
桃園市,　女,8852
臺中市,總計,17880
臺中市,　男,9324
臺中市,　女,8556
臺南市,總計,8914
臺南市,　男,4665
臺南市,　女,4249
高雄市,總計,16133
高雄市,　男,8380
高雄市,　女,7753
宜蘭縣,總計,2378
宜蘭縣,　男,1210
宜蘭縣,　女,1168
新竹縣,總計,4101
新竹縣,　男,2139
新竹縣,　女,1962
苗栗縣,總計,2293
苗栗縣,　男,1189
苗栗縣,　女,1104
彰化縣,總計,10106
彰化縣,　男,5249
彰化縣,　女,4857
南投縣,總計,2431
南投縣,　男,1264
南投縣,　女,1167
雲林縣,總計,3340
雲林縣,　男,1742
雲林縣,　女,1598
嘉義縣,總計,2272
嘉義縣,　男,1188
嘉義縣,　女,1084
屏東縣,總計,3749
屏東縣,　男,1966
屏東縣,　女,1783
臺東縣,總計,1405
臺東縣,　男,713
臺東縣,　女,692
花蓮縣,總計,2033
花蓮縣,　男,1088
花蓮縣,　女,945
澎湖縣,總計,841
澎湖縣,　男,414
澎湖縣,　女,427
基隆市,總計,1607
基隆市,　男,864
基隆市,　女,743
新竹市,總計,3052
新竹市,　男,1596
新竹市,　女,1456
嘉義市,總計,1202
嘉義市,　男,597
嘉義市,　女,605
金門縣,總計,855
金門縣,　男,439
金門縣,　女,416
連江縣,總計,104
連江縣,　男,55
連江縣,　女,49
